IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20161108_GEN_PRE_REP_TRUMP,USA_MS_20161108_GEN_PRE_DEM_CLINTON,USA_MS_20161108_GEN_PRE_LIB_JOHNSON,USA_MS_20161108_GEN_PRE_GRE_STEIN,USA_MS_20161108_GEN_PRE_CON_CASTLE,USA_MS_20161108_GEN_PRE_PRO_HEDGES,USA_MS_20161108_GEN_PRE_DEL_FUENTE
0,_033,_Hacks Cross Road,_28033000107,1059,650,56,10,17,1,2
0,_033,_Olive Branch West,_28033000108,514,278,11,0,2,0,0
0,_033,_Cumberland,_28033000109,699,720,22,12,5,0,1
0,_033,_Mineral Wells,_28033000201,1422,705,52,10,9,0,4
0,_033,_Greenbrook North,_28033000202,1104,1033,37,20,12,1,0
0,_033,_Southaven North,_28033000203,1151,503,43,12,16,0,1
0,_033,_Greenbrook South,_28033000204,2028,864,64,15,19,0,0
0,_033,_Summershill,_28033000205,1517,569,42,6,7,0,2
0,_033,_Pleasant Hill North,_28033000206,1718,491,40,8,12,0,0
0,_033,_Elmore,_28033000207,1129,563,31,4,10,0,0
0,_033,_Colonial Hills,_28033000301,550,167,16,8,0,0,0
0,_033,_Southaven West,_28033000302,801,714,31,10,4,0,1
0,_033,_Horn Lake Intermediate,_28033000303,625,691,28,8,5,1,0
0,_033,_Horn Lake West,_28033000304,561,557,18,9,2,0,1
0,_033,_Walls,_28033000305,1028,717,27,14,6,1,2
0,_033,_Lake Cormorant,_28033000306,269,135,6,2,2,0,0
0,_033,_Horn Lake North,_28033000307,576,736,20,9,5,1,1
0,_033,_Southaven South,_28033000401,210,467,8,7,6,0,0
0,_033,_Horn Lake East,_28033000402,438,672,15,11,3,2,3
0,_033,_Horn Lake High School,_28033000403,1118,478,30,11,16,1,1
0,_033,_Northwest Community College,_28033000404,1032,880,48,5,6,0,0
0,_033,_Nesbit West,_28033000405,784,306,16,4,6,0,2
0,_033,_Eudora,_28033000406,900,210,29,5,7,0,0
0,_033,_Horn Lake Central,_28033000408,557,464,18,5,8,0,1
0,_033,_DeSoto Central,_28033000501,1576,572,54,14,15,0,1
0,_033,_Nesbit East,_28033000502,1010,423,30,4,4,0,0
0,_033,_Bridgetown,_28033000503,1523,295,32,4,4,0,1
0,_033,_Lewisburg,_28033000505,1971,577,47,7,16,0,1
0,_033,_Hernando East,_28033000506,2864,562,65,13,15,0,2
0,_033,_Hernando West,_28033000507,1917,654,79,13,14,0,0
0,_033,_Love,_28033000508,906,188,18,3,3,0,1
0,_033,_Alphaba-Cockrum,_28033000509,720,79,9,3,1,0,0
0,_033,_Hernando Central,_28033000510,1626,392,53,3,9,0,1
0,_033,_Baker's Chapel,_28033000511,498,95,7,1,3,0,0
0,_035,_Timberton,_28035000101,588,174,17,6,3,0,0
0,_035,_Sigler Center,_28035000102,184,581,29,12,9,1,0
0,_035,_Kamper Park,_28035000103,441,516,52,14,4,0,1
0,_035,_Westside,_28035000104,313,416,28,7,2,0,1
0,_035,_Dixie,_28035000107,1050,113,17,6,5,0,1
0,_035,_Camp School,_28035000108,213,289,29,6,0,1,0
0,_035,_Dantzler,_28035000109,415,22,7,2,3,0,0
0,_035,_Richburg,_28035000110,308,131,8,2,2,0,0
0,_035,_Rawls Springs,_28035000201,425,404,9,3,3,0,0
0,_035,_Eatonville,_28035000202,523,149,9,2,2,0,0
0,_035,_Glendale,_28035000203,253,628,7,5,2,1,1
0,_035,_Train Depot,_28035000204,45,336,9,1,4,0,0
0,_035,_Hattiesburg Cultural Center,_28035000205,39,605,5,2,3,0,0
0,_035,_Burger Center,_28035000206,5,398,0,0,3,0,0
0,_035,_West Hills,_28035000207,316,199,15,3,1,0,0
0,_035,_Barrontown-Macedonia,_28035000301,1593,270,34,3,8,1,1
0,_035,_Leeville,_28035000302,914,100,13,4,4,0,0
0,_035,_Petal Masonic Lodge,_28035000303,897,131,40,6,6,1,0
0,_035,_Sunrise,_28035000304,1688,250,29,7,4,1,0
0,_035,_Petal Civic Center,_28035000305,957,175,26,6,7,1,2
0,_035,_Sheeplo,_28035000306,467,205,4,2,1,0,0
0,_035,_Mclaurin,_28035000402,276,41,2,0,2,0,0
0,_035,_Lillie Burney School,_28035000404,12,621,4,2,1,0,0
0,_035,_Court Street,_28035000405,80,421,10,0,0,0,0
0,_035,_Rowan School,_28035000406,7,532,2,1,2,0,0
0,_035,_Salvation Army,_28035000407,60,854,4,4,4,0,1
0,_035,_West Petal,_28035000408,307,126,11,4,2,0,1
0,_035,_Dixie Pine-Central,_28035000409,173,732,5,2,1,4,0
0,_035,_Brooklyn,_28035000501,400,24,4,0,0,1,0
0,_035,_Carnes,_28035000502,617,21,6,0,0,1,0
0,_035,_Maxie,_28035000503,145,32,3,1,0,0,0
0,_035,_Highland Park,_28035000504,247,529,31,6,5,0,0
0,_035,_North Heights,_28035000505,89,657,12,8,6,1,0
0,_035,_Pinecrest,_28035000506,354,550,55,11,8,0,0
0,_035,_Thames School,_28035000507,1060,484,62,11,8,2,0
0,_037,_Knoxville,_28037000101,99,67,1,1,2,0,0
0,_037,_Roxie,_28037000102,157,276,3,3,1,0,0
0,_037,_Hamburg,_28037000103,68,189,1,3,3,0,0
0,_037,_Pine Grove,_28037000201,110,9,1,0,0,0,0
0,_037,_Antioch,_28037000202,175,178,1,0,1,0,1
0,_037,_Meadville,_28037000203,322,74,4,0,4,1,1
0,_037,_Wesley Chapel,_28037000301,30,72,0,0,0,1,0
0,_037,_Bude,_28037000302,279,412,4,2,1,2,0
0,_037,_Eddiceton,_28037000401,311,43,3,0,2,0,0
0,_037,_McCall Creek,_28037000403,259,60,1,3,2,0,0
0,_037,_Lucien,_28037000404,145,23,0,1,0,0,0
0,_037,_Bad Bayou,_28037000501,335,12,1,0,0,0,0
0,_037,_Whittington,_28037000502,244,31,2,1,4,0,0
0,_037,_Cains,_28037000503,187,56,0,2,3,0,0
0,_039,_Rocky Creek,_28039000101,1109,65,10,1,6,1,2
0,_039,_Shipman,_28039000102,279,21,3,2,3,0,0
0,_039,_Ward,_28039000103,277,14,2,1,2,0,0
0,_039,_Multi-Mart,_28039000104,246,14,3,2,0,0,1
0,_039,_Courthouse,_28039000201,208,27,6,2,0,0,0
0,_039,_Pine Level,_28039000202,361,19,4,0,2,0,0
0,_039,_Agricola,_28039000203,776,34,4,2,2,0,1
0,_039,_Howell School,_28039000204,351,21,0,0,5,0,0
0,_039,_Movella,_28039000205,315,22,1,0,2,0,0
0,_039,_Multipurpose Bldg.,_28039000301,141,22,1,1,0,0,0
0,_039,_Davis School,_28039000302,316,22,1,0,3,1,0
0,_039,_Basin School,_28039000303,685,145,8,1,3,0,0
0,_039,_Barton,_28039000304,617,58,8,0,3,0,0
0,_039,_Lucedale City Hall,_28039000401,620,77,11,3,3,1,0
0,_039,_Bexley School,_28039000402,355,71,5,1,0,0,0
0,_039,_Shady Grove,_28039000403,641,35,6,0,2,0,1
0,_039,_Salem School,_28039000404,71,10,0,0,0,0,0
0,_039,_Lucedale Middle School,_28039000501,300,192,8,1,3,1,0
0,_039,_Twin Creek,_28039000502,245,15,5,2,1,0,0
0,_039,_Central School,_28039000503,204,20,1,0,1,0,0
