IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_111,_PRECINCT 161 35 DISTRICT,_00H161,1,1,0,0,0,1,1,0
0,_111,_PRECINCT 161 41 DISTRICT,_00L161,14,399,3,4,0,12,398,10
0,_111,_PRECINCT 161 48 DISTRICT,_00S161,235,371,6,1,0,240,359,18
0,_111,_PRECINCT 162 29 DISTRICT,_00B162,661,407,14,4,0,623,433,33
0,_111,_PRECINCT 162 32 DISTRICT,_00E162,82,216,4,0,1,82,210,10
0,_111,_PRECINCT 162 34 DISTRICT,_00G162,71,62,1,1,0,72,63,0
0,_111,_PRECINCT 162 35 DISTRICT,_00H162,253,283,14,0,1,234,296,21
0,_111,_PRECINCT 162 41 DISTRICT,_00L162,0,15,0,0,0,0,15,0
0,_111,_PRECINCT 162 42 DISTRICT,_00M162,37,247,0,0,0,38,245,2
0,_111,_PRECINCT 163 29 DISTRICT,_00B163,434,543,20,6,4,409,567,33
0,_111,_PRECINCT 163 32 DISTRICT,_00E163,576,378,6,1,0,614,343,11
0,_111,_PRECINCT 163 33 DISTRICT,_00F163,376,330,3,0,2,394,310,10
0,_111,_PRECINCT 163 34 DISTRICT,_00G163,176,319,14,1,0,185,310,16
0,_111,_PRECINCT 163 41 DISTRICT,_00L163,15,202,0,2,0,16,204,0
0,_111,_PRECINCT 163 42 DISTRICT,_00M163,39,215,2,0,0,42,214,1
0,_111,_PRECINCT 164 32 DISTRICT,_00E164,481,395,12,4,1,504,385,13
0,_111,_PRECINCT 164 33 DISTRICT,_00F164,485,326,8,1,2,507,306,10
0,_111,_PRECINCT 164 34 DISTRICT,_00G164,342,697,26,5,2,366,684,25
0,_111,_PRECINCT 164 41 DISTRICT,_00L164,81,250,4,2,1,67,263,10
0,_111,_PRECINCT 164 42 DISTRICT,_00M164,7,22,2,2,0,11,22,1
0,_111,_PRECINCT 164 48 DISTRICT,_00S164,330,484,8,1,4,348,469,14
0,_111,_PRECINCT 165 32 DISTRICT,_00E165,382,556,6,4,0,366,561,23
0,_111,_PRECINCT 165 34 DISTRICT,_00G165,153,252,7,3,1,168,237,6
0,_111,_PRECINCT 165 42 DISTRICT,_00M165,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 165 48 DISTRICT,_00S165,319,413,5,3,0,350,389,4
0,_111,_PRECINCT 166 29 DISTRICT,_00B166,357,287,13,1,0,320,307,37
0,_111,_PRECINCT 166 32 DISTRICT,_00E166,250,262,12,3,1,246,267,18
0,_111,_PRECINCT 166 33 DISTRICT,_00F166,460,324,11,1,2,464,323,13
0,_111,_PRECINCT 166 34 DISTRICT,_00G166,55,106,3,0,1,47,110,7
