IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20201103_GEN_PRE_REP_TRUMP,USA_ND_20201103_GEN_PRE_DEM_BIDEN,USA_ND_20201103_GEN_PRE_LIB_JORGENSEN,USA_ND_20201103_GEN_PRE_OTH_WRITEIN,USA_ND_20201103_GEN_HAL_REP_ARMSTRONG,USA_ND_20201103_GEN_HAL_DEM_RAKNERUD,USA_ND_20201103_GEN_HAL_LIB_PETERSON,USA_ND_20201103_GEN_HAL_OTH_WRITEIN,USA_ND_20201103_GEN_GOV_REP_BURGUM,USA_ND_20201103_GEN_GOV_DEM_LENZ,USA_ND_20201103_GEN_GOV_LIB_HENDRICKSON,USA_ND_20201103_GEN_GOV_OTH_WRITEIN,USA_ND_20201103_GEN_AUD_REP_GALLION,USA_ND_20201103_GEN_AUD_DEM_HART,USA_ND_20201103_GEN_AUD_OTH_WRITEIN,USA_ND_20201103_GEN_TRE_REP_BEADLE,USA_ND_20201103_GEN_TRE_DEM_HAUGEN,USA_ND_20201103_GEN_TRE_OTH_WRITEIN,USA_ND_20201103_GEN_INS_REP_GODFREAD,USA_ND_20201103_GEN_INS_OTH_WRITEIN,USA_ND_20201103_GEN_PSC_REP_KROSHUS,USA_ND_20201103_GEN_PSC_DEM_BUCKMANN,USA_ND_20201103_GEN_PSC_OTH_WRITEIN
0,_015,_Bismarck Event Center 3203,_Bismarck Event Center 3203,745,455,40,10,763,404,53,1,674,404,79,71,723,458,1,711,484,0,959,35,720,455,3
0,_015,_Bismarck Event Center 3204,_Bismarck Event Center 3204,2737,1224,124,26,2888,1039,118,6,2523,1060,210,268,2708,1196,6,2540,1345,17,3340,72,2726,1152,11
0,_015,_Century Baptist 4701,_Century Baptist 4701,2400,953,65,22,2576,754,60,1,2251,739,114,282,2441,823,11,2253,998,16,2825,51,2465,800,1
0,_015,_Century Baptist 4704,_Century Baptist 4704,1574,723,61,18,1688,584,63,1,1535,589,89,147,1599,657,4,1506,748,9,1918,35,1641,614,2
0,_015,_County 4-H Building 0701,_County 4-H Building 0701,1608,403,74,4,1601,369,74,2,1282,351,133,289,1505,484,4,1482,491,11,1785,25,1531,444,3
0,_015,_County 4-H Building 0704,_County 4-H Building 0704,670,139,24,3,694,125,17,0,559,129,45,93,663,159,1,613,202,2,750,4,656,158,0
0,_015,_County 4-H Building 0804,_County 4-H Building 0804,1459,295,30,6,1477,245,43,2,1179,255,74,249,1409,305,3,1328,387,9,1543,16,1408,302,1
0,_015,_County 4-H Building 2803,_County 4-H Building 2803,767,153,19,7,758,142,23,1,574,143,40,166,735,162,2,690,192,15,796,7,726,162,1
0,_015,_County 4-H Building 2804,_County 4-H Building 2804,46,27,2,0,42,24,7,0,37,23,6,8,41,27,0,37,33,0,54,2,46,25,0
0,_015,_Crossroads Cowboy Church 2802,_Crossroads Cowboy Church 2802,324,63,12,0,326,49,15,0,230,59,21,78,305,62,1,276,84,5,319,3,307,60,0
