IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MI_20201103_GEN_PRE_DEM_BIDEN,USA_MI_20201103_GEN_PRE_REP_TRUMP,USA_MI_20201103_GEN_PRE_LIB_JORGENSEN,USA_MI_20201103_GEN_PRE_TAX_BLANKENSHIP,USA_MI_20201103_GEN_PRE_GRE_HAWKINS,USA_MI_20201103_GEN_PRE_NAT_FUENTE,USA_MI_20201103_GEN_USS_DEM_PETERS,USA_MI_20201103_GEN_USS_REP_JAMES,USA_MI_20201103_GEN_USS_TAX_WILLIS,USA_MI_20201103_GEN_USS_GRE_SQUIER,USA_MI_20201103_GEN_USS_NAT_DERN
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 3",_Ann Arbor 5-3,876,44,1,0,5,0,857,49,4,8,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 4",_Ann Arbor 5-4,1528,88,3,1,3,1,1485,116,1,8,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 5",_Ann Arbor 5-5,1528,135,14,2,4,0,1491,164,4,18,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 6",_Ann Arbor 5-6,1408,136,7,0,4,0,1379,165,2,10,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 7",_Ann Arbor 5-7,919,115,9,0,3,1,890,129,6,16,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 8",_Ann Arbor 5-8,797,149,6,1,4,0,769,175,2,5,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 9",_Ann Arbor 5-9,1505,166,9,1,6,0,1460,192,1,20,2
0,_Ann Arbor Township,"_Ann Arbor Township, Precinct 1",_Ann Arbor Twp 1,1085,498,20,1,3,0,1026,557,2,7,1
0,_Ann Arbor Township,"_Ann Arbor Township, Precinct 2",_Ann Arbor Twp 2,1343,257,12,0,5,1,1281,315,2,10,2
0,_Antioch Township,"_Antioch Township, Precinct 1",_Antioch Twp 1,149,347,12,0,5,0,156,335,6,5,4
0,_Antrim Township,"_Antrim Township, Precinct 1",_Antrim Twp 1,383,930,14,3,4,0,382,908,10,9,5
0,_Antwerp Township,"_Antwerp Township, Precinct 1",_Antwerp Twp 1,538,622,18,1,2,1,506,625,23,11,4
