IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_WY_20201103_GEN_PRE_REP_TRUMP,USA_WY_20201103_GEN_PRE_DEM_BIDEN,USA_WY_20201103_GEN_PRE_LIB_JORGENSEN,USA_WY_20201103_GEN_PRE_IND_PIERCE,USA_WY_20201103_GEN_PRE_OTH_WRITEIN,USA_WY_20201103_GEN_USS_REP_LUMMIS,USA_WY_20201103_GEN_USS_DEM_DAVID,USA_WY_20201103_GEN_USS_OTH_WRITEIN,USA_WY_20201103_GEN_HAL_REP_CHENEY,USA_WY_20201103_GEN_HAL_DEM_BULL,USA_WY_20201103_GEN_HAL_LIB_BRUBAKER,USA_WY_20201103_GEN_HAL_CON_HAGGIT,USA_WY_20201103_GEN_HAL_OTH_WRITEIN
0,_005,_03-01,_003-01,844,48,14,5,4,828,53,4,782,45,24,24,6
0,_005,_04-01,_004-01,874,51,11,2,5,853,64,4,802,58,21,30,2
0,_005,_06-01,_006-01,256,17,2,1,1,253,18,2,234,15,15,9,1
0,_005,_07-01,_007-01,164,14,2,1,1,161,14,3,150,15,3,5,1
0,_005,_08-01,_008-01,108,8,1,2,2,110,7,1,106,8,1,4,1
0,_005,_09-01,_009-01,127,5,2,5,1,127,8,1,118,8,5,5,1
0,_005,_13-01,_013-01,223,7,3,1,2,223,9,2,215,5,7,5,2
0,_005,_14-01,_014-01,565,48,9,2,3,567,48,1,524,45,20,22,3
0,_005,_14-02,_014-02,349,9,3,2,1,338,14,1,320,10,11,10,2
0,_005,_18-01,_018-01,472,31,9,3,1,469,32,5,424,34,20,21,2
0,_005,_19-01,_019-01,341,23,11,2,2,329,28,2,304,25,17,15,1
0,_005,_22-01,_022-01,207,32,6,2,1,209,30,2,194,29,8,12,1
0,_005,_23-01,_023-01,642,43,19,2,2,650,37,5,593,37,30,29,3
0,_005,_24-01,_024-01,432,39,16,4,2,431,41,4,397,34,22,22,2
0,_005,_26-01,_026-01,31,3,1,1,1,29,4,2,29,3,2,1,2
0,_007,_RAWLINS 1-1,_0001-1,300,173,6,3,4,298,175,1,265,171,24,15,0
0,_007,_RAWLINS 1-2,_0001-2,207,53,8,2,0,207,59,0,186,48,17,12,0
0,_007,_RAWLINS 2-1,_0002-1,465,142,6,7,1,465,144,1,434,134,27,11,0
0,_007,_RAWLINS 2-2,_0002-2,500,175,9,3,4,505,171,2,460,163,30,18,2
0,_007,_RAWLINS 3-1,_0003-1,309,160,9,6,1,315,157,1,287,136,27,17,0
0,_007,_RAWLINS 3-2,_0003-2,467,154,23,6,7,482,154,5,418,144,41,25,4
0,_007,_MUDDY GAP 4-1,_0004-1,20,0,0,0,0,20,0,0,19,1,0,0,0
0,_007,_SINCLAIR 5-1,_0005-1,174,26,4,0,4,173,34,0,153,29,10,10,0
0,_007,_LEO 6-1,_0006-1,19,1,2,0,0,20,1,0,19,0,2,0,0
0,_007,_MEDICINE BOW 7-1,_0007-1,125,14,4,1,1,130,12,1,116,15,3,7,0
0,_007,_HANNA 8-1,_0008-1,269,48,12,2,1,271,53,2,245,44,19,16,1
0,_007,_ELK MOUNTAIN 9-1,_0009-1,140,13,4,2,2,143,16,2,123,22,14,4,0
0,_007,_MCFADDEN 10-1,_0010-1,52,5,1,0,0,55,3,0,52,4,2,0,0
0,_007,_SARATOGA 11-1,_0011-1,689,247,18,3,3,702,240,3,660,222,37,25,2
0,_007,_SARATOGA 11-2 OUTSIDE,_0011-2,363,80,18,2,0,373,82,1,338,69,25,12,0
0,_007,_ENCAMPMENT 12-1 OUTSIDE,_0012-1,242,54,6,6,0,246,60,1,229,53,12,11,1
0,_007,_RIVERSIDE 13-1 OUTSIDE,_0013-1,206,53,4,2,2,212,51,0,191,54,11,7,0
0,_007,_DIXON/SAVERY 14-1,_0014-1,121,13,2,2,1,129,10,0,118,12,2,4,0
0,_007,_BAGGS 15-1,_0015-1,346,16,6,2,1,345,19,0,331,16,10,10,0
