IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20161108_GEN_PRE_REP_TRUMP,USA_SC_20161108_GEN_PRE_DEM_CLINTON,USA_SC_20161108_GEN_PRE_LIB_JOHNSON,USA_SC_20161108_GEN_PRE_GRE_STEIN,USA_SC_20161108_GEN_PRE_IND_MCMULLIN,USA_SC_20161108_GEN_PRE_CON_CASTLE,USA_SC_20161108_GEN_PRE_AME_SKEWES,USA_SC_20161108_GEN_USS_REP_SCOTT,USA_SC_20161108_GEN_USS_DEM_DIXON,USA_SC_20161108_GEN_USS_LIB_BLEDSOE,USA_SC_20161108_GEN_USS_AME_SCARBOROUGH,USA_SC_20161108_GEN_USS_OTH_WRITEIN
0,_019,_NORTH CHARLESTON 2,_902,12,225,3,1,0,0,0,23,218,3,0,0
0,_019,_NORTH CHARLESTON 3,_903,489,330,29,7,8,0,1,542,295,5,4,0
0,_019,_NORTH CHARLESTON 4,_904,73,567,8,4,0,3,1,95,528,6,1,0
0,_019,_NORTH CHARLESTON 5,_905,57,960,8,6,0,2,3,107,900,6,9,0
0,_019,_NORTH CHARLESTON 6,_906,31,780,4,4,4,6,4,77,725,6,8,1
0,_019,_NORTH CHARLESTON 7,_907,63,783,5,4,0,2,0,112,710,4,0,4
0,_019,_NORTH CHARLESTON 8,_908,206,295,37,11,4,0,1,296,235,20,0,0
0,_019,_NORTH CHARLESTON 9,_909,330,583,51,13,7,3,1,432,508,27,5,4
0,_019,_NORTH CHARLESTON 10,_910,167,686,15,4,9,3,1,202,643,13,8,1
0,_019,_NORTH CHARLESTON 11,_911,330,308,37,11,15,1,0,445,228,12,1,0
0,_019,_NORTH CHARLESTON 12,_912,230,308,49,7,24,4,1,355,248,16,2,1
0,_019,_NORTH CHARLESTON 13,_913,60,538,0,4,5,4,1,86,505,3,6,0
0,_019,_NORTH CHARLESTON 14,_914,122,296,18,12,1,3,0,172,252,12,10,0
0,_019,_NORTH CHARLESTON 15,_915,102,608,18,10,0,4,0,143,563,13,5,1
0,_019,_NORTH CHARLESTON 16,_916,105,454,9,7,0,1,0,160,401,10,0,1
0,_019,_NORTH CHARLESTON 17,_917,37,386,3,2,0,0,3,68,358,5,1,0
0,_019,_NORTH CHARLESTON 18,_918,183,797,21,12,3,4,0,276,704,19,5,3
0,_019,_NORTH CHARLESTON 19,_919,99,499,4,4,4,3,1,134,464,9,3,0
0,_019,_NORTH CHARLESTON 20,_920,213,221,8,6,0,1,0,236,191,6,2,3
