IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20201103_GEN_PRE_DEM_BIDEN,USA_OR_20201103_GEN_PRE_REP_TRUMP,USA_OR_20201103_GEN_PRE_LIB_JORGENSEN,USA_OR_20201103_GEN_PRE_GRE_HAWKINS,USA_OR_20201103_GEN_PRE_PRO_HUNTER,USA_OR_20201103_GEN_PRE_OTH_WRITEIN,USA_OR_20201103_GEN_USS_DEM_MERKLEY,USA_OR_20201103_GEN_USS_REP_PERKINS,USA_OR_20201103_GEN_USS_LIB_DYE,USA_OR_20201103_GEN_USS_GRE_TAHER,USA_OR_20201103_GEN_USS_OTH_WRITEIN,USA_OR_20201103_GEN_ATG_DEM_ROSENBLUM,USA_OR_20201103_GEN_ATG_REP_CROSS,USA_OR_20201103_GEN_ATG_LIB_HEDBOR,USA_OR_20201103_GEN_ATG_OTH_WRITEIN,USA_OR_20201103_GEN_SOS_DEM_FAGAN,USA_OR_20201103_GEN_SOS_REP_THATCHER,USA_OR_20201103_GEN_SOS_LIB_MARKLEY,USA_OR_20201103_GEN_SOS_GRE_PARAVICINI,USA_OR_20201103_GEN_SOS_OTH_WRITEIN,USA_OR_20201103_GEN_TRE_DEM_READ,USA_OR_20201103_GEN_TRE_REB_GUDMAN,USA_OR_20201103_GEN_TRE_IND_HENRY,USA_OR_20201103_GEN_TRE_CON_MARSH,USA_OR_20201103_GEN_TRE_OTH_WRITEIN
0,_Multnomah,_4306,_4306,1743,80,10,6,2,15,1673,81,19,53,1,1635,108,19,7,1543,123,23,91,1,1515,140,96,9,0
0,_Multnomah,_4310,_4310,7915,319,54,50,18,68,7653,328,69,237,9,7558,386,104,18,7062,476,122,444,13,6975,516,465,57,9
0,_Multnomah,_4401,_4401,8374,1030,155,84,33,84,8163,967,132,320,13,8056,1043,204,20,7416,1109,239,613,10,7378,1143,668,103,7
0,_Multnomah,_4402,_4402,8307,1384,129,78,27,97,8114,1301,153,276,6,7949,1409,162,28,7404,1439,256,533,11,7374,1491,553,112,13
0,_Multnomah,_4403,_4403,7232,610,53,55,28,62,7056,561,76,228,7,6904,670,99,14,6424,696,114,478,11,6376,762,457,65,4
0,_Multnomah,_4404,_4404,8264,907,106,68,32,80,8048,882,107,264,8,7917,959,156,30,7431,1005,196,481,9,7361,1052,517,99,13
0,_Multnomah,_4409,_4409,1613,473,24,22,11,15,1605,403,35,68,2,1566,424,52,3,1457,428,51,113,3,1422,424,140,39,2
0,_Multnomah,_4501,_4501,9190,785,78,36,18,57,9001,830,83,141,6,8631,957,99,17,8227,1103,129,310,5,8157,1177,292,42,5
0,_Multnomah,_4502,_4502,3948,482,49,32,9,27,3850,472,53,107,3,3740,516,57,11,3514,567,66,208,7,3499,555,219,33,7
0,_Multnomah,_4503,_4503,3703,245,36,32,17,35,3596,255,36,110,3,3503,312,48,11,3292,379,54,179,3,3255,382,191,31,2
0,_Multnomah,_4505,_4505,6596,792,76,47,12,50,6452,743,89,165,8,6270,837,92,17,5913,877,132,331,5,5838,905,375,60,6
