IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20161108_GEN_PRE_DEM_CLINTON,USA_KS_20161108_GEN_PRE_REP_TRUMP,USA_KS_20161108_GEN_PRE_LIB_JOHNSON,USA_KS_20161108_GEN_PRE_GRE_STEIN,USA_KS_20161108_GEN_PRE_OTH_WRITEIN,USA_KS_20161108_GEN_USS_DEM_WIESNER,USA_KS_20161108_GEN_USS_REP_MORAN,USA_KS_20161108_GEN_USS_LIB_GARRARD,USA_KS_20161108_GEN_USS_OTH_WRITEIN
0,_015,_Andover City Ward 1 Voting District,_Andover City Ward 1 Voting District,732,1636,190,41,56,648,1843,162,0
0,_015,_Andover City Ward 2 Voting District,_Andover City Ward 2 Voting District,507,1104,107,21,11,454,1158,127,0
0,_015,_Andover City Ward 3 Exclave C Voting District,_Andover City Ward 3 Exclave C Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Andover City Ward 3 Exclave D Sewage Plant Voting District,_Andover City Ward 3 Exclave D Sewage Plant Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Andover City Ward 3 Exclave E Voting District,_Andover City Ward 3 Exclave E Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Andover City Ward 3 Voting District,_Andover City Ward 3 Voting District,274,641,67,15,7,242,679,71,0
0,_015,_Andover City Ward 4 Voting District,_Andover City Ward 4 Voting District,22,96,5,0,0,21,105,2,0
0,_015,_Augusta City Ward 1,_Augusta City Ward 1,212,522,53,19,1,191,526,84,0
0,_015,_Augusta City Ward 1 Exclave A,_Augusta City Ward 1 Exclave A,0,0,0,0,0,0,0,0,0
0,_015,_Augusta City Ward 1 Exclave B,_Augusta City Ward 1 Exclave B,0,0,0,0,0,0,0,0,0
0,_015,_Augusta City Ward 1 Exclave C,_Augusta City Ward 1 Exclave C,0,0,0,0,0,0,0,0,0
0,_015,_Augusta City Ward 1 Exclave D,_Augusta City Ward 1 Exclave D,0,0,0,0,0,0,0,0,0
0,_015,_Augusta City Ward 2,_Augusta City Ward 2,167,431,27,11,0,155,412,60,0
0,_015,_Augusta City Ward 3,_Augusta City Ward 3,344,729,52,21,6,301,785,70,0
0,_015,_Augusta City Ward 3 Exclave,_Augusta City Ward 3 Exclave,0,0,0,0,0,0,0,0,0
0,_015,_Augusta City Ward 4,_Augusta City Ward 4,251,739,61,15,7,205,807,56,0
0,_015,_Augusta Township Voting District,_Augusta Township Voting District,114,461,23,10,1,106,443,51,0
0,_015,_Benton Township/City Voting District,_Benton Township/City Voting District,247,899,61,11,15,223,925,72,0
0,_015,_Bloomington Township Voting District,_Bloomington Township Voting District,40,183,13,4,3,45,174,23,0
0,_015,_Bruno Township 385 77 Voting District,_Bruno Township 385 77 Voting District,118,401,28,1,5,99,415,48,0
0,_015,_Bruno Township 385 99 Voting District,_Bruno Township 385 99 Voting District,67,236,20,2,1,54,248,26,0
0,_015,_Bruno Township 402 77 Voting District,_Bruno Township 402 77 Voting District,24,101,3,2,2,20,102,9,0
0,_015,_Bruno Township 402 99 Voting District,_Bruno Township 402 99 Voting District,27,115,5,2,0,25,117,11,0
0,_015,_Bruno Township Enclave B Voting District,_Bruno Township Enclave B Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Bruno Township Enclave C Voting District,_Bruno Township Enclave C Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Bruno Township Enclave D Part A Voting District,_Bruno Township Enclave D Part A Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Bruno Township Enclave D Part B Voting District,_Bruno Township Enclave D Part B Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Bruno Township Enclave D Part C Voting District,_Bruno Township Enclave D Part C Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Bruno Township Enclave D Part D Voting District,_Bruno Township Enclave D Part D Voting District,0,0,0,0,0,0,0,0,0
0,_015,_Chelsea Township Voting District,_Chelsea Township Voting District,25,91,3,1,1,28,87,6,0
